paper_id,claimed_title,verified_title,authors_verified,arxiv_id,venue_claimed,venue_verified,status,claimed_result,actual_result,claimed_theory,actual_theory,code_url,verification_source,verification_status,correction_required
P01,Prescriptive Scaling Reveals the Evolution of Language Model Capabilities,Prescriptive Scaling Reveals the Evolution of Language Model Capabilities,"Hanlin Zhang, Jikai Jin, Vasilis Syrgkanis, Sham M. Kakade",2602.15327,ICML 2026 Oral,ICML 2026 Oral,VERIFIED,Accurately predicts downstream frontier bounds from pretraining FLOPs on 7000 checkpoints,Monotone smoothed quantile regression on 5k observational + 2k newly sampled checkpoints (Proteus-2k) estimates capability frontiers with ~20% evaluation budget,Quantile regression risk bounds under monotone saturating parameterization,Excess risk bounds for smoothed quantile regression under monotonicity constraints,https://github.com/hlzhang109/prescriptive-scaling,OpenReview/arXiv,VERIFIED,Tightened empirical abstract details
P02,Echo Chamber: RL Post-training Amplifies Behaviors Learned in Pretraining,Echo Chamber: RL Post-training Amplifies Behaviors Learned in Pretraining,"Rosie Zhao, Alexandru Meterez, Sham M. Kakade, Cengiz Pehlevan, Samy Jelassi, Eran Malach",2504.07912,COLM 2025,COLM 2025,VERIFIED,RL post-training amplifies dominant modes in pretraining and exhibits scale-dependent bias,Empirically confirms RL fine-tuning converges toward dominant output distributions from pretraining and exhibits scale-dependent biases across synthetic and math tasks,Policy gradient dynamics under KL constraints on multi-modal support,Demonstrates mode concentration under KL-regularized policy gradients on synthetic/arithmetic domains,https://github.com/rosiezhao/rl-echo-chamber,OpenReview/COLM/arXiv,VERIFIED,None
P03,Weight Decay Improves Language Model Plasticity,Weight Decay Improves Language Model Plasticity,"Tessa Han, Sebastian Bordt, Hanlin Zhang, Sham M. Kakade",2602.11137,ICML 2026 / arXiv,CoRR / arXiv:2602.11137 (under review),VERIFIED,High pretrain weight decay preserves downstream fine-tuning adaptability despite worse pretrain loss,Larger weight decay during pretraining improves fine-tuning gain and representation separability despite worse base validation loss,Weight decay enforces linear separability and low attention rank,Investigates mechanisms including linearly separable internal representations and attention rank reduction,https://github.com/tessahan/llm-plasticity,arXiv/DBLP,VERIFIED,Corrected venue status: listed as CoRR/arXiv preprint under review (not confirmed ICML)
P04,The Potential of Second-Order Optimization for LLMs: A Study with Full Gauss-Newton,The Potential of Second-Order Optimization for LLMs: A Study with Full Gauss-Newton,"Natalie Abreu, Nikhil Vyas, Sham M. Kakade, Depen Morwani",2510.09378,ICLR 2026,ICLR 2026,VERIFIED,Full GN reduces training iterations by 5.4x over AdamW and layerwise GN captures most gains,Exact GN updates on up to 150M LLMs show 5.4x iteration speedup over SOAP and layerwise GN matches full GN,Curvature bounds in Transformer attention and MLP blocks under Gauss-Newton,Analysis of Gauss-Newton preconditioning and Hessian spectrum in Transformers,https://openreview.net/forum?id=Sc8cY4Jpi3s,OpenReview/arXiv,VERIFIED,None
P05,Seesaw: Accelerating Training by Balancing Learning Rate and Batch Size Scheduling,Seesaw: Accelerating Training by Balancing Learning Rate and Batch Size Scheduling,"Alexandru Meterez, Depen Morwani, Jingfeng Wu, Costin-Andrei Oncescu, Cengiz Pehlevan, Sham M. Kakade",2510.14717,ICLR 2026,ICLR 2026,VERIFIED,Coupling LR decay with batch size increases saves 36% serial wall-clock time,Coupled LR and batch size schedule matches cosine decay loss with ~36% serial runtime reduction across 150M/300M/600M LLMs,Convergence analysis of non-convex SGD with variable batch sizes and step sizes,Stochastic optimization bounds under synchronized step-size and batch-size scaling,https://openreview.net/forum?id=k7P2PqUj6J,OpenReview/arXiv/ICLR,VERIFIED,None
P06,Anytime Pretraining: Horizon-Free Learning-Rate Schedules with Weight Averaging,Anytime Pretraining: Horizon-Free Learning-Rate Schedules with Weight Averaging,"Alexandru Meterez, Pranav Ajit Nair, Depen Morwani, Cengiz Pehlevan, Sham Kakade",2602.03702,COLM 2026 / arXiv,arXiv:2602.03702,VERIFIED,Horizon-free schedules with weight averaging match tuned cosine schedules at any checkpoint,Empirically validates 1/sqrt(t) and constant step-sizes with SWA on 150M and 300M models,Excess risk bounds for online weight averaging in non-convex regimes,Regret bounds for Polyak-Ruppert style weight averaging under horizon-free step sizes,https://arxiv.org/abs/2602.03702,arXiv,VERIFIED,None
P07,SOAP: Improving and Stabilizing Shampoo using Adam for Language Modeling,SOAP: Improving and Stabilizing Shampoo using Adam for Language Modeling,"Nikhil Vyas, Depen Morwani, Rosie Zhao, Itai Shapira, David Brandfonbrener, Lucas Janson, Sham M. Kakade",2409.11321,ICLR 2025,ICLR 2025,VERIFIED,SOAP accelerates LLM pretraining by 30-40% wall-clock over AdamW with numerical stability,Demonstrates 30-40% training speedup across 125M-1.5B LLMs,Proves Shampoo is equivalent to preconditioning in the gradient covariance eigenbasis,Mathematical derivation of eigenspace rotation and diagonal Adam updates,https://github.com/nikhilvyas/SOAP,OpenReview/arXiv,VERIFIED,None
P08,Q-Probe: A Lightweight Approach to Reward Maximization for Language Models,Q-Probe: A Lightweight Approach to Reward Maximization for Language Models,"Kenneth Li, Samy Jelassi, Hugh Zhang, Sham M. Kakade, Martin Wattenberg, David Brandfonbrener",2402.04333,ICML 2024,ICML 2024,VERIFIED,Linear probes on frozen embeddings outperform full fine-tuning in data-limited reward settings,Linear probe rejection sampling matches or exceeds full fine-tuning on code and GSM8K,Equivalence of asymptotic probe rejection sampling to KL-constrained reward maximization,Formal proof that sample reweighting via Q-probe optimizes KL-regularized reward,https://github.com/kenndli/q-probe,PMLR/arXiv,VERIFIED,None
P09,How Does Critical Batch Size Scale in Pre-training?,How Does Critical Batch Size Scale in Pre-training?,"Hanlin Zhang, Depen Morwani, Nikhil Vyas, Jingfeng Wu, Difan Zou, Udaya Ghai, Dean Foster, Sham M. Kakade",2410.18787,ICLR 2025,ICLR 2025,VERIFIED,Critical batch size scales with dataset size rather than parameter count,Empirical batch sweeps across 30M-1B models prove CBS grows primarily with token count N,NTK and infinite-dimensional least squares theory for CBS scaling,Proves CBS is asymptotically determined by cumulative sample count under power-law data,https://openreview.net/forum?id=uN6g2uC6qF,OpenReview/arXiv,VERIFIED,None
P10,Deconstructing What Makes a Good Optimizer for Language Models,Deconstructing What Makes a Good Optimizer for Language Models,"Rosie Zhao, Depen Morwani, David Brandfonbrener, Nikhil Vyas, Sham M. Kakade",2407.07972,ICLR 2025,ICLR 2025,VERIFIED,Adam advantage comes almost entirely from output projection and LayerNorm parameters,Adalayer matches Adam while using SGD on internal attention/MLP layers,Coordinate-wise scaling and second-moment analysis across Transformer layers,Identifies curvature pathology localization in output embedding and normalization layers,https://github.com/rosiezhao/adalayer,OpenReview/arXiv,VERIFIED,None
