feature_id,feature_name,scientific_classification,engineering_classification,justification
F1,Recovery / Control State Taxonomy,PARTIAL_OVERLAP,HIGH_SYSTEM_VALUE,Taxonomy draws on step-error literature; formal AST verifier boundary classification provides standard system utility.
F2,8-Covariate State Matching Protocol V3,DISTINCT_COMBINATION,HIGH_SYSTEM_VALUE,Combines 8 structural covariates into a prospective matching algorithm for reasoning evaluation.
F3,Verifier Observation Schema,KNOWN,STANDARD_SYSTEM_UTILITY,Standard AST and sandbox verifier wrappers outputting primitive JSONL events.
F4,Exposure Ledger & Provenance Chain,POTENTIALLY_SUBSTANTIVE_SYSTEM_CONTRIBUTION,HIGH_SYSTEM_VALUE,Prevents evaluation leakage by tracking development exposure vs untouched partitions.
F5,Contrasts C1-C4 Algebra,STANDARD_STATISTICAL_CONTRAST,STANDARD_SYSTEM_UTILITY,Standard statistical difference-in-differences contrast applied as an application-specific estimand; NOT novel mathematics.
F6,Synthetic Graph MDP Harness,KNOWN,HIGH_REPRODUCIBILITY_VALUE,Deterministic synthetic environment for unit-testing evaluation pipelines.
F7,AST Math & Code Verifiers,KNOWN,HIGH_SYSTEM_VALUE,SymPy AST and isolated Python sandbox execution wrappers.
F8,Primitive JSONL Serialization,STANDARD,HIGH_REPRODUCIBILITY_VALUE,Ensures every score traces directly to model.generate() raw outputs.
F9,Hierarchical Sign-Test Protocol,STANDARD,STANDARD_SYSTEM_UTILITY,Exact sign test across independent training seeds.
F10,Reproducibility Package Architecture,STANDARD,HIGH_REPRODUCIBILITY_VALUE,Clean end-to-end open-source evaluation suite.
