claim,currently_supported,new_experiment_required,required_design,minimum_power_requirement,required_analysis,required_robustness,evidence_obtained,final_status
Endpoint Interaction Gamma_256 = +0.1176,YES,NO,"N=454, K=16, t={0,256}","N=454, K=16",Problem-blocked bootstrap,Strict contamination N=388,Completed 29056 rollouts,ENABLED
Monotonicity across intermediate steps,NO,YES,Phase 2 Stage B Trajectory,"K=24 (87.1% power)",Isotonic regression & simultaneous bands,Strict N=388 trajectory,Unobserved (0 calls),NOT_ENABLED
Non-monotonicity / dips,NO,YES,Phase 2 Stage B Trajectory,"K=24 (87.1% power)",Order-restricted contrast testing,Strict N=388 trajectory,Unobserved (0 calls),NOT_ENABLED
Emergence timing / step localization,NO,YES,Phase 2 Stage B Trajectory,"K=24 (87.1% power)",Earliest t* stability testing,Strict N=388 trajectory,Unobserved (0 calls),NOT_ENABLED
Checkpoint-localized emergence,NO,YES,Phase 2 Stage B Trajectory,"K=24 (87.1% power)",Adjacent-step contrast D_t,Strict N=388 trajectory,Unobserved (0 calls),NOT_ENABLED
Local peak / maximum,NO,YES,Phase 2 Stage B Trajectory,"K=24 (87.1% power)",Peak localization test,Strict N=388 trajectory,Unobserved (0 calls),NOT_ENABLED
Plateau behavior,NO,YES,Phase 2 Stage B Trajectory,"K=24 (87.1% power)",Flatness contrast testing,Strict N=388 trajectory,Unobserved (0 calls),NOT_ENABLED
Inflection-like change,NO,YES,Phase 2 Stage B Trajectory,"K=24 (87.1% power)",Second difference A_t,Strict N=388 trajectory,Unobserved (0 calls),NOT_ENABLED
Full post-training trajectory shape,NO,YES,Phase 2 Stage B Trajectory,"K=24 (87.1% power)",Simultaneous bootstrap band,Strict N=388 trajectory,Unobserved (0 calls),NOT_ENABLED
Natural self-correction,NO,YES,Phase 2 Stage C NaturalRecovery,"N=200, K=16 unperturbed",Survivor-bias control denominator,Token-matched control,Unobserved (0 calls),NOT_ENABLED
Natural post-error recovery,NO,YES,Phase 2 Stage C NaturalRecovery,"N=200, K=16 unperturbed",Natural error event rate,Token-matched control,Unobserved (0 calls),NOT_ENABLED
Relative endpoint effect RR_256 = 1.189,YES,NO,"N=454, K=16, t={0,256}","N=454, K=16",Relative risk ratio formula,Strict N=388 relative risk,Completed 29056 rollouts,ENABLED
Relative condition gain RRG = 1.58,YES,NO,"N=454, K=16, t={0,256}","N=454, K=16",Gain ratio formula,Strict N=388 gain ratio,Completed 29056 rollouts,ENABLED
Acceleration-like second difference A_t,NO,YES,Phase 2 Stage B Trajectory,"K=24 (87.1% power)",Discrete second difference A_t,Strict N=388 trajectory,Unobserved (0 calls),NOT_ENABLED
"+11.76% acceleration",NO,NO,PROHIBITED_PERMANENTLY,N/A,N/A,N/A,N/A,FAILED_TO_SUPPORT
