NewProgram,NewClaim,SubmittedPaperID,SubmittedPaperTitle,SharedCode,SharedDataset,SharedMethod,ScientificOverlap,OverlapScore,Action
Program 1,GRPO trajectory homogenization decouples self-consistency agreement from correctness (AURC degradation),PUB-001,When Confidence Proxies Confound Reasoning Complexity,PyTorch GRPO loop,GSM8K / SVAMP,Group advantage normalization,Evaluates trajectory agreement AURC & Brier score vs offline sample consensus credit,2 (Shared infra),REFRAME & PROCEED
Program 1,GRPO trajectory homogenization decouples self-consistency agreement from correctness (AURC degradation),PUB-002,recovery_eval: State-Matched Evaluation of Recovery Behavior,None,GSM8K,Verifier evaluation,Evaluates trajectory calibration vs state-matched recovery contrast D_recovery,1 (Shared area),KEEP & PROCEED
Program 1,GRPO trajectory homogenization decouples self-consistency agreement from correctness (AURC degradation),PUB-003,Amortized Intervention Frontiers for Language-Model Reasoning,None,GSM8K/MATH,None,Evaluates self-consistency calibration vs deployment compute amortization frontiers Q*_frontier,1 (Shared area),KEEP & PROCEED
Program 2,Unhandled tool execution failures induce persistent hidden-state belief errors degrading multi-turn safety,PUB-001,When Confidence Proxies Confound Reasoning Complexity,None,None,None,Shifts from RL reasoning complexity to multi-turn agent tool-failure belief propagation,0 (Unrelated),KEEP & PROCEED
Program 2,Unhandled tool execution failures induce persistent hidden-state belief errors degrading multi-turn safety,PUB-002,recovery_eval: State-Matched Evaluation of Recovery Behavior,None,None,State verification,Evaluates multi-turn tool error persistence vs single-step state matching,1 (Shared area),KEEP & PROCEED
Program 2,Unhandled tool execution failures induce persistent hidden-state belief errors degrading multi-turn safety,PUB-003,Amortized Intervention Frontiers for Language-Model Reasoning,None,None,None,Shifts to multi-turn context-depth safety degradation,0 (Unrelated),KEEP & PROCEED
Program 3,Confidence-aware fallback reliability envelopes prevent latency spikes in learned Raft consensus under shift,PUB-001,When Confidence Proxies Confound Reasoning Complexity,None,None,None,Shifts to fault-tolerant distributed consensus reliability envelopes,0 (Unrelated),KEEP & PROCEED
Program 3,Confidence-aware fallback reliability envelopes prevent latency spikes in learned Raft consensus under shift,PUB-002,recovery_eval: State-Matched Evaluation of Recovery Behavior,None,None,None,Shifts to Raft joint consensus control,0 (Unrelated),KEEP & PROCEED
Program 3,Confidence-aware fallback reliability envelopes prevent latency spikes in learned Raft consensus under shift,PUB-003,Amortized Intervention Frontiers for Language-Model Reasoning,None,None,Trade-off modeling,Evaluates consensus latency fallback envelopes vs LLM deployment compute frontiers,1 (Shared area),KEEP & PROCEED
Program 4,Zero-knowledge execution provenance DAGs provide auditable trace privacy for multi-step agent execution,PUB-001,When Confidence Proxies Confound Reasoning Complexity,None,None,None,Shifts to ZK execution provenance for agent traces,0 (Unrelated),KEEP & PROCEED
Program 4,Zero-knowledge execution provenance DAGs provide auditable trace privacy for multi-step agent execution,PUB-002,recovery_eval: State-Matched Evaluation of Recovery Behavior,Trace logger,None,Provenance tracking,Unifies ZK attestation with trace provenance for private auditable agent logs,2 (Shared infra),REFRAME & PROCEED
Program 4,Zero-knowledge execution provenance DAGs provide auditable trace privacy for multi-step agent execution,PUB-003,Amortized Intervention Frontiers for Language-Model Reasoning,None,None,None,Shifts to ZK trace auditability,0 (Unrelated),KEEP & PROCEED
