math500_id,training_dataset,training_item_id,classification,jaccard_3gram,numeric_variant,justification
math500_000,DeepScaleR,ds_40113,NEAR_DUPLICATE_HIGH_CONFIDENCE,0.9615,NO,"High token n-gram similarity (Jaccard=0.786, EditRatio=0.962) with DeepScaleR item ds_40113."
math500_001,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_002,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_003,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_004,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_005,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_006,DeepScaleR,ds_04261,POSSIBLE_RELATED,0.7059,NO,Moderate semantic/structural overlap (Jaccard=0.259) with DeepScaleR item ds_04261.
math500_007,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_008,DeepScaleR,ds_34181,POSSIBLE_RELATED,0.7895,NO,Moderate semantic/structural overlap (Jaccard=0.511) with DeepScaleR item ds_34181.
math500_009,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_010,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_011,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_012,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_013,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_014,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_015,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_016,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_017,DeepScaleR,ds_39807,NEAR_DUPLICATE_HIGH_CONFIDENCE,0.9399,NO,"High token n-gram similarity (Jaccard=0.940, EditRatio=0.932) with DeepScaleR item ds_39807."
math500_018,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_019,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_020,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_021,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_022,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_023,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_024,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_025,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_026,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_027,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_028,DeepScaleR,ds_39912,POSSIBLE_RELATED,0.7895,NO,Moderate semantic/structural overlap (Jaccard=0.575) with DeepScaleR item ds_39912.
math500_029,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
