problem_id,in_registry_v4,terminal_stage,reason,source_artifact
math500_001,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_002,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_003,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_004,NO,NO_VERIFIABLE_TRANSITION,Solution contains conceptual prose without verifiable math equation transitions.,MATH500_PRIMARY_CONSERVATIVE_POOL.json
math500_005,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_006,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_007,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_008,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_009,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_010,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_011,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_012,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_013,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_014,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_015,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_016,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_018,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_019,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_020,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_021,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_022,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_023,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_024,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_025,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_026,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_027,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
math500_028,YES,FINAL_REGISTERED,Constructed valid Control/Recovery state pair passing all semantic quality invariants.,FINAL_PROSPECTIVE_STATE_REGISTRY_V4.json
