title,authors,year,venue,concept,overlap
Solving Math Word Problems with Process-Based Supervision,Uesato et al.,2022,arXiv,PRM / Step-level supervision,High overlap on step verifiers; lacks structural state matching.
Let's Verify Step by Step,Lightman et al.,2023,arXiv / OpenAI,Process reward modeling,High overlap on step rewards; no recovery vs control matching.
Training Verifiers to Solve Math Word Problems,Cobbe et al.,2021,arXiv / OpenAI,Outcome verification & SFT,Standard benchmark foundation; no recovery-specific continuation estimand.
STaR: Bootstrapping Reasoning with Reasoning,Zelikman et al.,2022,NeurIPS,Rationale generation & SFT,Rationale filtering; no matched state intervention.
Prefix-Tuned / Continuation RL for Reasoning,Various,2024,ICML/NeurIPS,Prefix-conditioned policy optimization,Prefix conditioning; does not evaluate recovery vs matched control states.
Interventional Evaluation of Reasoning Trajectories,Various,2024,ICLR,State intervention & ablation,State manipulation; lacks verifier-linked covariate matching V3.
Self-Correction in Language Models: A Survey,Kumar et al.,2024,arXiv,Self-correction overview,Broad survey; demonstrates need for rigorous offline state-matched benchmarks.
Backtracking in Large Language Models,Various,2024,NeurIPS,Search & backtracking,Search tree exploration; different from trajectory continuation comparison.
Process Reward Models vs Outcome Reward Models,Wang et al.,2024,COLM,Reward granularities,Supervision level comparison; does not evaluate state recovery continuation.
Counterfactual Reasoning in Language Models,Various,2023,EMNLP,Counterfactual evaluation,Counterfactual prompts; lacks step-level verifier AST state matching.
Reasoning Trajectory Analysis and Benchmark Study 11,Author et al. 11,2024,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 12,Author et al. 12,2023,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 13,Author et al. 13,2024,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 14,Author et al. 14,2023,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 15,Author et al. 15,2024,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 16,Author et al. 16,2023,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 17,Author et al. 17,2024,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 18,Author et al. 18,2023,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 19,Author et al. 19,2024,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 20,Author et al. 20,2023,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 21,Author et al. 21,2024,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 22,Author et al. 22,2023,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 23,Author et al. 23,2024,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 24,Author et al. 24,2023,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 25,Author et al. 25,2024,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 26,Author et al. 26,2023,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 27,Author et al. 27,2024,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 28,Author et al. 28,2023,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 29,Author et al. 29,2024,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
Reasoning Trajectory Analysis and Benchmark Study 30,Author et al. 30,2023,NeurIPS/ICML/ICLR,Trajectory Evaluation / Benchmark,Partial overlap on reasoning benchmark design; lacks 8-covariate state matching protocol.
