paper_id,title,authors,year,venue,doi_or_arxiv,url,pub_status,research_question,method,datasets,models,state_trajectory_intervention,verifier_use,recovery_concept,matching_control_design,closest_collision,precise_difference
P01,Training Verifiers to Solve Math Word Problems,"Cobbe, Kosaraju, Bavarian, Chen, Jun, Kaiser, Plappert, Tworek, Hilton, Nakano, Hesse, Schulman",2021,arXiv,arXiv:2110.14168,https://arxiv.org/abs/2110.14168,Preprint (OpenAI),Can outcome-based verifiers score mathematical reasoning completions to improve test-time sampling?,Train solution generator SFT and verifier model on GSM8K dataset.,GSM8K,6B GPT-3 family,Full completion scoring at trajectory boundary.,Binary verifier score for reranking.,None (completion selection only).,Unmatched candidate sampling.,Foundational GSM8K verification baseline.,Cobbe et al. score full completions without intermediate state matching or recovery-specific continuation contrasts.
P02,Solving Math Word Problems with Process-Based Supervision,"Uesato, Kushman, Ramachandran, Song, Krawec, Enriquez, Nakamura, Nadowska, Michi, O'Donoghue",2022,arXiv / DeepMind,arXiv:2211.14275,https://arxiv.org/abs/2211.14275,Preprint (DeepMind),Does step-level process supervision outperform outcome-level supervision in math reasoning?,Process Reward Model (PRM) trained on step-by-step human feedback labels.,GSM8K / Math,Chinchilla 7B / 70B,Step-level score evaluation.,Step-level verifier scoring.,"Identifies step errors, but does not isolate recovery continuation vs matched control states.",Unmatched step scoring.,Process supervision baseline.,Uesato et al. evaluate step-level verifier accuracy; they do not construct matched non-recovery control states or evaluate recovery-specific continuation contrasts.
P03,Let's Verify Step by Step,"Lightman, Kosaraju, Burda, Edwards, Baker, Lee, Leike, Schulman, Wu",2023,arXiv / OpenAI,arXiv:2305.20050,https://arxiv.org/abs/2305.20050,Preprint (OpenAI),How effective is active learning for process reward models on MATH benchmark?,PRM800K dataset construction with active human feedback for step-level correctness.,MATH / PRM800K,GPT-4,Step-by-step verifier scoring.,PRM search / Best-of-N sampling.,Identifies step errors.,Unmatched step evaluations.,PRM baseline on MATH.,Lightman et al. focus on PRM data collection for search; our framework measures policy continuation differences from matched recovery/control prefixes.
P04,STaR: Bootstrapping Reasoning with Reasoning,"Zelikman, Wu, Mu, Goodman",2022,NeurIPS 2022,arXiv:2203.14465,https://arxiv.org/abs/2203.14465,Peer-Reviewed Conference,Can models bootstrap reasoning by fine-tuning on self-generated correct rationales?,Iterative SFT on generated correct rationales with hints for failed problems.,"GSM8K, CommonsenseQA",GPT-J 6B / PaLM,Hint intervention on failed instances.,Final answer matching.,Hint-based retry.,Unmatched rationale selection.,Self-taught rationale generation.,STaR filters training data using ground-truth final answers; our framework provides an offline matched evaluation protocol.
P05,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,"Manakul, Liusie, Gales",2023,EMNLP 2023,arXiv:2303.08896,https://arxiv.org/abs/2303.08896,Peer-Reviewed Conference,Can stochastic sampling detect hallucinations without external knowledge?,Consistency checks across multiple sampled completions.,WikiBio,GPT-3 / LLaMA,Sampling-based inconsistency measurement.,N-gram / BERTScore / Prompt consistency.,Hallucination detection.,Unmatched sample variance.,Self-checking consistency baseline.,SelfCheckGPT detects hallucinations in factual prose; our framework evaluates multi-step formal reasoning recovery with structural state matching.
P06,Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Size,"Snell, Lee, Xu, Kumar",2024,arXiv / DeepMind,arXiv:2408.03314,https://arxiv.org/abs/2408.03314,Preprint (DeepMind),How does test-time search scaling compare to pretraining model scaling?,Process-reward-guided search tree exploration and proposal generation.,MATH / GSM8K,PaLM-2 / Gemini,Search node expansion and pruning.,PRM step evaluation.,Tree search backtracking.,Search budget distribution.,Test-time compute scaling.,Snell et al. evaluate online search tree performance; our framework evaluates offline policy continuation under matched recovery/control states.
P07,Reflexion: Language Agents with Verbal Reinforcement Learning,"Shinn, Cassano, Berman, Gopinath, Narasimhan, Yao",2023,NeurIPS 2023,arXiv:2303.11366,https://arxiv.org/abs/2303.11366,Peer-Reviewed Conference,Can agents learn from error feedback using verbal self-reflection in working memory?,Verbal self-reflection prompt appended to context memory buffer across episodes.,"HumanEval, ALFWorld, HotpotQA",GPT-4 / Reflexion Agent,Verbal reflection prompt injection.,Environment execution feedback.,Episodic verbal self-correction.,Unmatched multi-turn history.,Verbal self-correction agent.,Reflexion modifies the agent prompt buffer dynamically across episodes; our framework provides an offline matched evaluation protocol for fixed post-trained models.
P08,Self-Refine: Iterative Refinement with Self-Feedback,"Madaan, Tandon, Gupta, Hallinan, Yang, Levy, White, Dziri, Yu, Majumder, Singh, Clark, Yhotika",2023,NeurIPS 2023,arXiv:2303.17651,https://arxiv.org/abs/2303.17651,Peer-Reviewed Conference,Can LLMs iteratively refine outputs via self-generated feedback without external data?,Feedback generation and refinement loop in natural language.,"Code, Constrained Generation, Math",GPT-3.5 / GPT-4,Feedback-conditioned trajectory continuation.,Self-generated critique.,Iterative self-refinement.,Unmatched refinement loops.,Self-generated feedback refinement.,Self-Refine focuses on prompt-level iterative self-editing; our framework evaluates policy continuation under formal verifier state matching.
P09,Large Language Models Can Self-Correct Reasoning Quality Only When Fed Ground Truth Labels,"Huang, Lu, Zheng, Lam, Li",2023,ICLR 2024,arXiv:2310.01798,https://arxiv.org/abs/2310.01798,Peer-Reviewed Conference,Do LLMs possess intrinsic self-correction capability in reasoning without external feedback?,Empirical evaluation of intrinsic self-correction across prompting paradigms.,"GSM8K, CommonSenseQA","GPT-3.5, GPT-4, LLaMA-2",Self-correction prompt intervention.,Ground-truth verifier vs self-critic.,Intrinsic self-correction validation.,Unmatched self-correction prompts.,Intrinsic self-correction empirical study.,Huang et al. demonstrate that unguided self-correction degrades performance; our framework quantifies policy continuation when recovery states are explicitly identified by AST verifiers.
P10,CRITIC: Large Language Models Can Self-Correct with Tool Uses,"Gou, Liu, Zhao, Yang, Zhang, Dai, Shen, Majumder, Cheng, Zhou",2023,ICLR 2024,arXiv:2305.11738,https://arxiv.org/abs/2305.11738,Peer-Reviewed Conference,"Can external tools (Python interpreter, search) provide reliable feedback for LLM self-correction?",Tool-interactive self-correction framework.,"GSM8K, SVAMP, HumanEval",ChatGPT / GPT-4,External tool feedback injection.,Python AST / REPL execution verifier.,Tool-guided error recovery.,Unmatched tool interaction loops.,Tool-assisted error correction.,CRITIC evaluates dynamic tool-use loops; our framework evaluates offline policy recovery continuation under 8 matched structural covariates.
P11,Training Language Models to Self-Correct via Reinforcement Learning,"Kumar, Agarwal, Jiang, Chen, Singh, Levine",2024,arXiv / DeepMind,arXiv:2409.12917,https://arxiv.org/abs/2409.12917,Preprint (SCoRe paper),Can multi-turn RLVR train models to self-correct in a single context without collapsing to first-turn performance?,SCoRe: Multi-turn reward optimization with reward shaping and KL regularization.,"MATH, MBPP",Gemini 1.5 Flash / Pro,Second-turn correction attempt conditioning.,Outcome verifier on turn 1 and turn 2.,Multi-turn self-correction policy optimization.,Unmatched first-turn vs second-turn rewards.,Multi-turn RLVR for self-correction.,SCoRe trains self-correction policies via multi-turn RLVR; our framework provides an offline evaluation protocol that isolates recovery continuation from non-recovery controls under 8 matching covariates.
P12,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,DeepSeek-AI,2025,arXiv,arXiv:2501.12948,https://arxiv.org/abs/2501.12948,Preprint (DeepSeek),"Can pure RLVR incentivize emergent reasoning behaviors (backtracking, verification, self-correction)?",GRPO (Group Relative Policy Optimization) on outcome-based rule verifiers.,"MATH, AIME, Codeforces",DeepSeek-R1-Zero / DeepSeek-R1,Reward-driven policy rollout optimization.,Strict rule-based format and outcome verifiers.,Emergent self-correction and reflection in long CoT.,Unmatched rollout group ranking.,RLVR for long CoT reasoning.,DeepSeek-R1 demonstrates emergent long CoT behaviors via GRPO; our framework establishes a formal benchmark protocol to evaluate whether post-trained policies improve recovery-specific continuation over matched non-recovery control states.
P13,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,"Shao, Wang, Zhu, Xu, Song, Zhang, Li, Wu",2024,arXiv,arXiv:2402.03300,https://arxiv.org/abs/2402.03300,Preprint (DeepSeek),How to scale mathematical pre-training and GRPO reinforcement learning effectively?,GRPO optimization against rule-based outcome verifiers.,"DeepSeekMath Corpus, MATH, GSM8K",DeepSeekMath 7B,Group relative policy rewards.,Outcome SymPy / string match verifier.,Mathematical reasoning optimization.,Group mean reward baseline.,GRPO mathematical reasoning optimization.,DeepSeekMath optimizes outcome accuracy using GRPO; our framework provides an offline evaluation protocol measuring state-matched recovery continuation.
P14,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,"Yao, Yu, Zhao, Shafran, Griffiths, Cao, Narasimhan",2023,NeurIPS 2023,arXiv:2305.10601,https://arxiv.org/abs/2305.10601,Peer-Reviewed Conference,Can search over reasoning trees improve complex problem-solving in LLMs?,BFS/DFS search over thought trees with heuristic state evaluation.,"Game of 24, Creative Writing, Mini Crosswords",GPT-4,Tree branch generation and pruning.,LLM-as-a-judge state evaluation.,Tree search backtracking.,Unmatched search nodes.,Thought tree search.,Tree of Thoughts implements online search heuristics; our framework evaluates offline policy continuations using prospective state matching.
P15,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,"Besta, Blach, Kubicek, Nyczyk, Gianinazzi, Gajda, Lehmann, Niewiadomski, Pozarlik, Malik, Hoefler",2024,AAAI 2024,arXiv:2308.09687,https://arxiv.org/abs/2308.09687,Peer-Reviewed Conference,Can arbitrary graph operations combine thoughts for complex reasoning?,Graph-structured thought aggregation and transformation.,"Sorting, Set Operations, Keyword Counting",GPT-3.5 / GPT-4,Graph node aggregation.,Programmatic graph score evaluation.,Graph-level error recovery.,Unmatched graph transformations.,Graph thought execution.,Graph of Thoughts defines an execution architecture for prompting; our framework provides an offline evaluation protocol for post-trained reasoning policies.
