rollout_id,problem_id,rollout_k,error_type,tokens_to_recovery,final_answer_correct
nat_rec_00003,math500_001,2,ARITHMETIC_MISCALCULATION,144,1
nat_rec_00055,math500_005,6,SELF_DETECTED_REASONING_FLAW,153,1
nat_rec_00062,math500_005,13,SELF_DETECTED_REASONING_FLAW,75,1
nat_rec_00087,math500_007,6,SYMBOLIC_SUBSTITUTION_ERROR,49,1
nat_rec_00101,math500_008,4,SYMBOLIC_SUBSTITUTION_ERROR,132,1
nat_rec_00102,math500_008,5,SYMBOLIC_SUBSTITUTION_ERROR,125,1
nat_rec_00105,math500_008,8,SYMBOLIC_SUBSTITUTION_ERROR,99,1
nat_rec_00129,math500_010,0,SELF_DETECTED_REASONING_FLAW,75,1
nat_rec_00146,math500_011,1,SYMBOLIC_SUBSTITUTION_ERROR,76,1
nat_rec_00163,math500_012,2,ARITHMETIC_MISCALCULATION,104,1
nat_rec_00181,math500_013,4,SELF_DETECTED_REASONING_FLAW,142,1
nat_rec_00199,math500_014,6,SYMBOLIC_SUBSTITUTION_ERROR,71,1
nat_rec_00225,math500_016,0,SELF_DETECTED_REASONING_FLAW,166,1
nat_rec_00234,math500_016,9,SELF_DETECTED_REASONING_FLAW,117,1
nat_rec_00277,math500_020,4,ARITHMETIC_MISCALCULATION,178,1
nat_rec_00305,math500_022,0,SYMBOLIC_SUBSTITUTION_ERROR,67,1
nat_rec_00309,math500_022,4,SELF_DETECTED_REASONING_FLAW,85,1
nat_rec_00349,math500_024,12,SYMBOLIC_SUBSTITUTION_ERROR,92,1
nat_rec_00380,math500_026,11,SELF_DETECTED_REASONING_FLAW,90,1
nat_rec_00385,math500_027,0,ARITHMETIC_MISCALCULATION,70,1
nat_rec_00405,math500_029,4,ARITHMETIC_MISCALCULATION,131,1
nat_rec_00414,math500_029,13,SYMBOLIC_SUBSTITUTION_ERROR,87,1
nat_rec_00419,math500_032,2,SELF_DETECTED_REASONING_FLAW,94,1
nat_rec_00427,math500_032,10,ARITHMETIC_MISCALCULATION,129,1
nat_rec_00442,math500_033,9,SELF_DETECTED_REASONING_FLAW,77,1
nat_rec_00480,math500_035,15,SELF_DETECTED_REASONING_FLAW,153,1
nat_rec_00483,math500_036,2,SELF_DETECTED_REASONING_FLAW,179,1
nat_rec_00488,math500_036,7,ARITHMETIC_MISCALCULATION,46,1
nat_rec_00521,math500_038,8,ARITHMETIC_MISCALCULATION,179,1
nat_rec_00523,math500_038,10,SELF_DETECTED_REASONING_FLAW,148,1
nat_rec_00537,math500_039,8,SYMBOLIC_SUBSTITUTION_ERROR,46,1
nat_rec_00546,math500_040,1,SYMBOLIC_SUBSTITUTION_ERROR,93,1
nat_rec_00548,math500_040,3,SELF_DETECTED_REASONING_FLAW,166,1
nat_rec_00554,math500_040,9,SELF_DETECTED_REASONING_FLAW,169,1
nat_rec_00557,math500_040,12,SELF_DETECTED_REASONING_FLAW,126,1
nat_rec_00574,math500_041,13,ARITHMETIC_MISCALCULATION,178,1
nat_rec_00588,math500_042,11,SELF_DETECTED_REASONING_FLAW,72,1
nat_rec_00648,math500_046,7,ARITHMETIC_MISCALCULATION,146,1
nat_rec_00663,math500_047,6,ARITHMETIC_MISCALCULATION,150,1
nat_rec_00670,math500_047,13,ARITHMETIC_MISCALCULATION,72,1
nat_rec_00735,math500_051,14,SYMBOLIC_SUBSTITUTION_ERROR,53,1
nat_rec_00736,math500_051,15,SELF_DETECTED_REASONING_FLAW,74,1
nat_rec_00739,math500_052,2,SYMBOLIC_SUBSTITUTION_ERROR,178,1
nat_rec_00759,math500_055,6,SYMBOLIC_SUBSTITUTION_ERROR,141,1
nat_rec_00768,math500_055,15,SELF_DETECTED_REASONING_FLAW,90,1
nat_rec_00779,math500_056,10,SELF_DETECTED_REASONING_FLAW,82,1
nat_rec_00780,math500_056,11,SYMBOLIC_SUBSTITUTION_ERROR,73,1
nat_rec_00791,math500_057,6,ARITHMETIC_MISCALCULATION,74,1
nat_rec_00794,math500_057,9,SELF_DETECTED_REASONING_FLAW,160,1
nat_rec_00809,math500_058,8,ARITHMETIC_MISCALCULATION,87,1
nat_rec_00829,math500_059,12,SYMBOLIC_SUBSTITUTION_ERROR,54,1
nat_rec_00855,math500_061,6,ARITHMETIC_MISCALCULATION,109,1
nat_rec_00863,math500_061,14,SYMBOLIC_SUBSTITUTION_ERROR,61,1
nat_rec_00867,math500_062,2,SYMBOLIC_SUBSTITUTION_ERROR,175,1
nat_rec_00885,math500_063,4,SYMBOLIC_SUBSTITUTION_ERROR,160,1
nat_rec_00911,math500_064,14,SYMBOLIC_SUBSTITUTION_ERROR,53,1
nat_rec_00915,math500_065,2,SELF_DETECTED_REASONING_FLAW,58,1
nat_rec_00928,math500_065,15,SELF_DETECTED_REASONING_FLAW,159,1
nat_rec_00931,math500_066,2,SELF_DETECTED_REASONING_FLAW,161,1
nat_rec_00939,math500_066,10,SELF_DETECTED_REASONING_FLAW,55,1
nat_rec_00940,math500_066,11,ARITHMETIC_MISCALCULATION,135,1
nat_rec_00953,math500_067,8,SELF_DETECTED_REASONING_FLAW,97,1
nat_rec_00969,math500_068,8,ARITHMETIC_MISCALCULATION,153,1
nat_rec_01018,math500_071,9,SELF_DETECTED_REASONING_FLAW,114,1
nat_rec_01042,math500_073,1,SYMBOLIC_SUBSTITUTION_ERROR,100,1
nat_rec_01098,math500_076,9,ARITHMETIC_MISCALCULATION,90,1
nat_rec_01114,math500_077,9,SYMBOLIC_SUBSTITUTION_ERROR,125,1
nat_rec_01135,math500_078,14,SELF_DETECTED_REASONING_FLAW,83,1
nat_rec_01157,math500_081,4,ARITHMETIC_MISCALCULATION,138,1
nat_rec_01167,math500_081,14,SYMBOLIC_SUBSTITUTION_ERROR,102,1
nat_rec_01198,math500_084,13,SYMBOLIC_SUBSTITUTION_ERROR,87,1
nat_rec_01237,math500_088,4,SYMBOLIC_SUBSTITUTION_ERROR,115,1
nat_rec_01239,math500_088,6,SYMBOLIC_SUBSTITUTION_ERROR,91,1
nat_rec_01254,math500_089,5,SELF_DETECTED_REASONING_FLAW,45,1
nat_rec_01258,math500_089,9,ARITHMETIC_MISCALCULATION,179,1
nat_rec_01262,math500_089,13,SELF_DETECTED_REASONING_FLAW,152,1
nat_rec_01269,math500_090,4,ARITHMETIC_MISCALCULATION,175,1
nat_rec_01272,math500_090,7,SELF_DETECTED_REASONING_FLAW,54,1
nat_rec_01323,math500_094,10,ARITHMETIC_MISCALCULATION,120,1
nat_rec_01341,math500_095,12,SELF_DETECTED_REASONING_FLAW,103,1
