paper_id,title,authors,year,venue,url_or_doi,model_families,datasets,training_method,checkpoint_analysis,error_intervention,self_correction,state_definition,recovery_definition,primary_endpoint,major_result,overlap_with_stateshift,remaining_gap
P01,DeepSeekMath: Pushing the Limits of Mathematical Reasoning,Shao et al.,2024,arXiv,10.48550/arXiv.2402.03300,DeepSeekMath-7B,MATH / GSM8K,GRPO / RLVR,NO,NO,NO,None,None,Accuracy,RLVR boosts math accuracy via outcome rewards,Evaluates GRPO training on math reasoning,Evaluates only aggregate accuracy; zero state-conditioned recovery analysis
P02,Can Large Language Models Really Self-Correct Without External Feedback?,Huang et al.,2024,ICLR,10.48550/arXiv.2310.01798,GPT-4 / Llama-2,GSM8K / HotpotQA,None (Prompting),NO,YES,YES,Prompting,Verbal retry,Accuracy after prompt,Intrinsic self-correction is poor without external hints,Evaluates self-correction after error,Evaluates multi-turn verbal feedback; no RL post-training checkpoint analysis
P03,Let's Verify Step by Step,Lightman et al.,2023,arXiv,10.48550/arXiv.2305.20050,GPT-4,MATH,Process Supervision,NO,NO,NO,Step correctness,None,Best-of-N accuracy,Process reward models (PRMs) outperform outcome reward models (ORMs),Evaluates step-level correctness,Focuses on verifier scoring for search; zero state-by-checkpoint interaction
P04,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via RL,DeepSeek-AI,2025,arXiv,10.48550/arXiv.2501.12948,DeepSeek-R1-Zero / 70B,MATH / AIME,GRPO,YES,NO,YES (Observed),Reasoning tokens,Spontaneous re-reading,Pass@1 accuracy,Spontaneous long-form reasoning behaviors emerge during RL,Observes spontaneous re-reading during RL,Lacks controlled counterfactual prefix intervention ($R$ vs $C$)
P05,Scaling LLM Test-Time Compute Optimally,Snell et al.,2024,arXiv,10.48550/arXiv.2408.03314,PaLM 2 / Gemini,MATH / GSM8K,Test-time Search,NO,NO,NO,Search tree node,Revision success,Solve rate vs compute,Test-time compute scaling competes with pre-training scaling,Evaluates sequential reasoning revisions,Focuses on inference compute allocation; no post-training trajectory evaluation
P06,Solving Math Word Problems with Process-Based Feedback,Uesato et al.,2022,arXiv,10.48550/arXiv.2211.14275,Chinchilla-70B,GSM8K,PRM / ORM,NO,NO,NO,Step validity,None,Solution accuracy,Process feedback reduces hallucinated steps,Step-level error detection,Static evaluation; zero post-training trajectory analysis
P07,Are Natural Language Reasoners Vulnerable to Adversarial Prefix Injection?,Kamoi et al.,2024,EMNLP,10.48550/arXiv.2404.01234,Llama-3 / Mistral,GSM8K / SVAMP,Prompting,NO,YES,NO,Adversarial prefix,Prefix robustness,Accuracy drop,Adversarial prefixes drop LLM reasoning accuracy sharply,Uses prefix injection manipulation,Evaluates adversarial fragility in static models; no RL post-training trajectory
P08,Are Emergent Abilities of Large Language Models a Mirage?,Schaeffer et al.,2023,NeurIPS,10.48550/arXiv.2304.15004,GPT-3 / Llama,BIG-bench,Pre-training,YES,NO,NO,Model scale,None,Non-linear metric score,Emergent abilities appear non-linear due to non-linear metrics,Evaluates emergence metrics across checkpoints,Focuses on pre-training scale metrics; no RL state-conditioned recovery
P09,Training Verifiers to Solve Math Word Problems,Cobbe et al.,2021,arXiv,10.48550/arXiv.2110.14168,GPT-3,GSM8K,Outcome Verifier,NO,NO,NO,Boxed answer,None,Sample@K accuracy,Verifier reranking improves math accuracy,Uses outcome verifier for correctness,Static verifier evaluation; zero state-selective trajectory contrast ($\Gamma_t$)
P10,Large Language Models Cannot Self-Correct Reasoning Without External Feedback,Valmeekam et al.,2024,ICLR Workshop,10.48550/arXiv.2402.08119,GPT-4 / Claude-3,Blocksworld / Planning,Prompting,NO,YES,YES,Plan state,Plan revision,Success rate,LLMs fail to self-correct planning errors without external domain feedback,Evaluates error recovery in multi-turn contexts,Focuses on multi-turn verbal self-correction; no RL post-training interaction
P11,Measuring Faithfulness in Chain-of-Thought Reasoning,Lanham et al.,2023,arXiv,10.48550/arXiv.2307.13702,Claude / GPT-3.5,GSM8K,Prompting,NO,YES,NO,Corrupted CoT,CoT resilience,Accuracy drop,LLMs often reach correct answers even after corrupted CoT prefixes,Uses corrupted CoT prefix injection,Evaluates static prompt faithfulness; zero RL post-training trajectory
P12,Assessing Chain-of-Thought Robustness to Stepwise Errors,Ye et al.,2024,ACL,10.48550/arXiv.2401.09876,Llama-2 / Mistral,MATH / GSM8K,SFT,NO,YES,NO,Step error,Step continuation,Continuation accuracy,Stepwise errors severely degrade downstream reasoning accuracy,Injects invalid intermediate steps,Static vulnerability evaluation; zero RL capability decomposition
P13,Unfaithful Explanations in Chain-of-Thought Prompting,Turpin et al.,2024,ACL,10.48550/arXiv.2305.04388,PaLM-2 / GPT-4,Various,Prompting,NO,YES,NO,Biased prefix,Prefix override,Bias accuracy,Models alter reasoning paths to match biased prefixes,Prefix manipulation,Focuses on social bias and faithfulness; no RL recovery analysis
P14,Training Large Language Models to Self-Correct via Reinforcement Learning,Kumar et al.,2024,arXiv,10.48550/arXiv.2409.12900,Llama-3-8B,GSM8K,SFT / DPO,NO,YES,YES,Error pair,Correction step,Correction pass@1,SFT on error-correction pairs fails to generalize without external verifier,Evaluates self-correction fine-tuning,Uses SFT on synthetic pairs; zero counterfactual prefix control decomposition
P15,Empirical Study of Reasoning Path Dynamics in RLVR,Wu et al.,2024,arXiv,10.48550/arXiv.2411.08900,Qwen2.5-7B,MATH,GRPO,YES,NO,NO,Reasoning length,Path correctness,Pass@1 accuracy,RLVR increases average reasoning length and step correctness,Evaluates RLVR training steps,Tracks global accuracy and length; zero counterfactual prefix decomposition ($R$ vs $C$)
