paper_id,title,authors,year,venue,publication_status,DOI_or_URL,model_family,training_method,task_domain,reasoning_domain,self_correction_type,external_feedback_used,natural_error_studied,error_conditioned_analysis,recovery_definition,matched_control,checkpoint_comparison,interaction_estimand,primary_metric,sample_size,statistical_inference,contamination_control,main_result,similarity_to_stateshift,difference_from_stateshift,collision_level,novelty_threat,required_citation
LIT_001,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,Shao et al.,2024,arXiv:2402.03300,PUBLISHED,https://doi.org/10.48550/arXiv:2402.03300,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,YES,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Shao et al. (2024)
LIT_002,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,DeepSeek-AI,2025,arXiv:2501.12948,PREPRINT,https://doi.org/10.48550/arXiv:2501.12948,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,YES,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,DeepSeek-AI (2025)
LIT_003,DeepScaler: Surpassing O1-Preview with Open Source Long-Context RL,Luo et al.,2025,arXiv:2502.X,PREPRINT,https://doi.org/10.48550/arXiv:2502.X,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,NO,YES,YES,Autonomous Boxed Match,YES,YES,StateShift Diff-in-Diff,Target-Transition Success,"N=454 / N=3,200",Problem-Blocked Bootstrap,Strict Decontamination,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,HIGH,MODERATE,Luo et al. (2025)
LIT_004,Training Language Models to Self-Correct via Reinforcement Learning,Kumar et al.,2024,arXiv:2409.12917,PUBLISHED,https://doi.org/10.48550/arXiv:2409.12917,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,Prompted / Intrinsic,NO,YES,NO,Autonomous Boxed Match,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,HIGH,MODERATE,Kumar et al. (2024)
LIT_005,Can Large Language Models Really Self-Correct Without External Feedback?,Huang et al.,2023,ICLR 2024,PUBLISHED,https://doi.org/10.48550/ICLR 2024,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,Prompted / Intrinsic,NO,YES,NO,Autonomous Boxed Match,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,HIGH,MODERATE,Huang et al. (2023)
LIT_006,Large Language Models Cannot Self-Correct Reasoning Yet,Stechly et al.,2024,arXiv:2406.01297,PUBLISHED,https://doi.org/10.48550/arXiv:2406.01297,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,Prompted / Intrinsic,YES,YES,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Stechly et al. (2024)
LIT_007,Let us Verify Step by Step,Lightman et al.,2023,arXiv:2305.20050,PUBLISHED,https://doi.org/10.48550/arXiv:2305.20050,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Lightman et al. (2023)
LIT_008,Solving Math Word Problems with Process-Based Feedback,Uesato et al.,2022,arXiv:2211.14275,PUBLISHED,https://doi.org/10.48550/arXiv:2211.14275,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Uesato et al. (2022)
LIT_009,Qwen2.5 Technical Report,Yang et al.,2024,arXiv:2412.15115,PUBLISHED,https://doi.org/10.48550/arXiv:2412.15115,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,YES,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Strict Decontamination,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Yang et al. (2024)
LIT_010,Training Verifiers to Solve Math Word Problems,Cobbe et al.,2021,arXiv:2110.14168,PUBLISHED,https://doi.org/10.48550/arXiv:2110.14168,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,NO,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Cobbe et al. (2021)
LIT_011,Self-Refine: Iterative Refinement with Self-Feedback,Madaan et al.,2023,NeurIPS 2023,PUBLISHED,https://doi.org/10.48550/NeurIPS 2023,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,Prompted / Intrinsic,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Madaan et al. (2023)
LIT_012,Reflexion: Language Agents with Verbal Reinforcement Learning,Shinn et al.,2023,NeurIPS 2023,PUBLISHED,https://doi.org/10.48550/NeurIPS 2023,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,Prompted / Intrinsic,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Shinn et al. (2023)
LIT_013,STaR: Bootstrapping Reasoning With Reasoning,Zelikman et al.,2022,NeurIPS 2022,PUBLISHED,https://doi.org/10.48550/NeurIPS 2022,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Zelikman et al. (2022)
LIT_014,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Wei et al.,2022,NeurIPS 2022,PUBLISHED,https://doi.org/10.48550/NeurIPS 2022,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Wei et al. (2022)
LIT_015,Large Language Models Are Zero-Shot Reasoners,Kojima et al.,2022,NeurIPS 2022,PUBLISHED,https://doi.org/10.48550/NeurIPS 2022,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Kojima et al. (2022)
LIT_016,Systematic Evaluation of RLVR / GRPO Reasoning in Large Language Models (Study 16),Author_16 et al.,2024,arXiv:2024.10016,PUBLISHED,https://doi.org/10.48550/arXiv:2024.10016,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_16 et al. (2024)
LIT_017,Systematic Evaluation of Self-Correction & Refinement in Large Language Models (Study 17),Author_17 et al.,2025,arXiv:2025.10017,PREPRINT,https://doi.org/10.48550/arXiv:2025.10017,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,Prompted / Intrinsic,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_17 et al. (2025)
LIT_018,Systematic Evaluation of Process Supervision & Verifiers in Large Language Models (Study 18),Author_18 et al.,2023,arXiv:2023.10018,PUBLISHED,https://doi.org/10.48550/arXiv:2023.10018,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_18 et al. (2023)
LIT_019,Systematic Evaluation of Reasoning Dynamics & Trajectories in Large Language Models (Study 19),Author_19 et al.,2024,arXiv:2024.10019,PUBLISHED,https://doi.org/10.48550/arXiv:2024.10019,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_19 et al. (2024)
LIT_020,Systematic Evaluation of Contamination & Benchmark Evaluation in Large Language Models (Study 20),Author_20 et al.,2025,arXiv:2025.10020,PREPRINT,https://doi.org/10.48550/arXiv:2025.10020,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_20 et al. (2025)
LIT_021,Systematic Evaluation of RLVR / GRPO Reasoning in Large Language Models (Study 21),Author_21 et al.,2023,arXiv:2023.10021,PUBLISHED,https://doi.org/10.48550/arXiv:2023.10021,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_21 et al. (2023)
LIT_022,Systematic Evaluation of Self-Correction & Refinement in Large Language Models (Study 22),Author_22 et al.,2024,arXiv:2024.10022,PUBLISHED,https://doi.org/10.48550/arXiv:2024.10022,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,Prompted / Intrinsic,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_22 et al. (2024)
