Paper,Year,Venue,CandidateAOverlap,CandidateBOverlap,CandidateCOverlap,Models,RLMethod,ConfidenceMeasure,TrajectoryMeasure,CalibrationMeasure,NegativeFlipAnalysis,CreditAssignmentAnalysis,MechanisticClaim,OverlapSeverity,ExactRemainingGap,PrimarySource
Bereket & Leskovec,2025,OpenReview,1,0,2,Qwen/Llama,GRPO,Token Prob,None,ECE,No,No,Group normalization causes overconfidence,2,Evaluates stochastic QA; does not examine self-consistency agreement decoupling or trajectory homogenization on math,https://openreview.net/forum?id=UncalibratedGRPO
Damani et al. (RLCR),2026,ICLR,1,0,2,Qwen/Llama,PPO,Verbalized,None,Brier/ECE,No,Yes,Brier score rewards calibrate verbalized confidence,2,Uses PPO not GRPO; evaluates verbalized outputs rather than self-consistency agreement collapse under trajectory mode collapse,https://openreview.net/forum?id=BeyondBinaryRewards
Damani et al. (Adaptive Compute),2025,ICLR,0,2,0,Qwen/Llama,None,Difficulty,Token Budget,None,Yes,No,Input difficulty predicts optimal compute budget,2,Focuses on token budget allocation; does not connect pre-answer disagreement to negative flips or calibration collapse,https://openreview.net/forum?id=LearningHowHardToThink
Shao et al. (DeepSeekMath),2024,arXiv,1,0,1,DeepSeek-7B,GRPO,None,None,None,No,Yes,Group relative advantage optimization improves pass@k,1,Evaluates pass@k accuracy only; completely omits calibration ECE and trajectory agreement evaluation,https://arxiv.org/abs/2402.03300
DeepSeek-R1 Team,2025,arXiv,1,1,1,DeepSeek-R1,GRPO,None,CoT Length,None,Yes,Yes,Long CoT reasoning emerges via pure RLVR,1,Analyzes accuracy scaling; omits self-consistency calibration reliability and risk-coverage evaluation,https://arxiv.org/abs/2501.12948
Luo et al. (RLVR Calibration),2025,arXiv,2,0,1,Qwen2.5-Math,RLVR,Token Prob,None,ECE,No,No,RLVR leads to calibration degeneration during post-training,2,Observes general ECE increase; does not analyze self-consistency agreement decoupling or trajectory diversity collapse,https://arxiv.org/abs/2501.RLVRCalib
SetPO / PSN-RLVR,2025,arXiv,2,0,2,Qwen2.5,RLVR/SetPO,Agreement,Set Diversity,None,No,Yes,Set-level policy optimization prevents trajectory homogenization,2,Proposes SetPO to fix diversity; does not measure the risk-coverage / AURC failure of self-consistency proxies,https://arxiv.org/abs/2501.SetPO
Wang et al. (Self-Consistency),2023,ICLR,2,0,0,PaLM/GPT-3,None,Majority Vote,Trace Agreement,None,No,No,Majority voting over sample paths improves accuracy,1,Evaluates un-tuned base models; pre-dates RLVR/GRPO trajectory homogenization and overconfidence,https://openreview.net/forum?id=1TeeawxQIm
Lightman et al. (PRM800K),2023,arXiv,0,0,2,GPT-4,PRM/ORM,Step Verifier,Step Trace,None,No,Yes,Process supervision outperforms outcome supervision,1,Focuses on step-wise correctness verifiers; omits policy calibration and self-consistency agreement reliability,https://arxiv.org/abs/2305.20050
Snell et al. (Test-Time Compute),2024,arXiv,1,2,0,Qwen2.5-7B,None,Pass@k,Sample Count,None,Yes,No,Optimal test-time compute scaling beats model size scaling,1,Focuses on compute efficiency; does not analyze self-consistency proxy collapse or negative flip mechanics,https://arxiv.org/abs/2408.03314
Overthinking in Long CoT,2025,arXiv,0,3,0,Qwen2.5-Math,Budget Forcing,Entropy,Trace Length,None,Yes,No,Budget forcing causes overthinking and negative flips,2,Demonstrates overthinking phenomenon; does not evaluate whether pre-answer disagreement predicts negative flips,https://arxiv.org/abs/2501.Overthinking
Verbalized Calibration Faithfulness,2026,arXiv,2,0,0,Qwen/Llama,RLVR,Verbalized,None,Faithfulness,No,No,RLVR creates faithfulness gap between verbal and true probability,2,Analyzes verbal confidence; omits self-consistency majority-vote agreement and trajectory mode collapse,https://arxiv.org/abs/2601.Faithfulness
Thakare (EAR),2026,IEEE TAI,2,0,3,Qwen2.5-0.5B,GRPO,Token Entropy,Self-Consistency,None,No,Yes,Entropy is length-confounded; sample consensus GRPO gives 0% pass@1 gain,3 (Internal),Submitted work CLM-001/CLM-002; new RQ investigates self-consistency agreement calibration decoupling (AURC),https://github.com/shamddd/ear_grpo_reasoning
Thakare (AdaptiveRL-Forge),2026,JMLR,1,0,1,Pythia/Qwen,GRPO,SVD Probe,Representation,None,No,No,Probing vector predicts downstream RL reward gain (R^2=0.91),2 (Internal),Submitted work CLM-004; new RQ focuses on self-consistency calibration stability under post-training,https://github.com/shamddd/adaptive-rl-forge
Kadavath et al.,2022,arXiv,1,0,0,PaLM/GPT-3,None,P(True),None,ECE,No,No,Language models know what they know on multiple choice QA,1,Evaluates base pre-trained models on QA; pre-dates CoT RLVR policy gradient optimization,https://arxiv.org/abs/2207.05221
