problem_id,step_index,operation_type,eligible_operators,reason_eligible,reason_excluded
math500_001,0,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_FRACTION_FLIP",N/A
math500_001,1,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_001,2,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_001,3,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_002,0,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_003,0,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_003,1,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_003,2,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_003,3,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_003,4,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_003,5,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_004,0,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_004,1,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_004,2,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_005,0,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_005,1,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_005,2,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_005,3,ALGEBRAIC_SIMPLIFICATION,OP_SIGN_FLIP,Contains verifiable math expression eligible for OP_SIGN_FLIP,N/A
math500_005,4,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_005,5,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
