problem_id,terminal_stage,exact_exclusion_reason
math500_001,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_002,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_003,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_004,PERTURBATION_INELIGIBLE,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_005,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_006,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_007,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_008,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_009,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_010,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_011,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_012,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_013,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_014,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_015,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_016,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_018,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_019,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_020,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_021,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_022,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_023,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_024,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_025,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_026,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_027,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_028,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_029,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_030,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
