rollout_id,problem_id,rollout_k,error_type,error_step,recovery_status,final_answer_correct
nat_rec_00003,math500_001,2,ARITHMETIC_MISCALCULATION,Step 2,RECOVERED,1
nat_rec_00009,math500_001,8,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00019,math500_002,2,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_00022,math500_002,5,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00024,math500_002,7,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_00025,math500_002,8,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00029,math500_002,12,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00042,math500_003,9,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_00048,math500_003,15,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00050,math500_005,1,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00055,math500_005,6,SELF_DETECTED_REASONING_FLAW,Step 1,RECOVERED,1
nat_rec_00056,math500_005,7,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00057,math500_005,8,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00062,math500_005,13,SELF_DETECTED_REASONING_FLAW,Step 1,RECOVERED,1
nat_rec_00063,math500_005,14,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_00068,math500_006,3,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00070,math500_006,5,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_00078,math500_006,13,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00087,math500_007,6,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,RECOVERED,1
nat_rec_00088,math500_007,7,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00089,math500_007,8,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_00097,math500_008,0,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00101,math500_008,4,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,RECOVERED,1
nat_rec_00102,math500_008,5,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,RECOVERED,1
nat_rec_00105,math500_008,8,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,RECOVERED,1
nat_rec_00107,math500_008,10,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00109,math500_008,12,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00116,math500_009,3,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00129,math500_010,0,SELF_DETECTED_REASONING_FLAW,Step 1,RECOVERED,1
nat_rec_00140,math500_010,11,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_00146,math500_011,1,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,RECOVERED,1
nat_rec_00148,math500_011,3,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00153,math500_011,8,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_00161,math500_012,0,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00163,math500_012,2,ARITHMETIC_MISCALCULATION,Step 3,RECOVERED,1
nat_rec_00173,math500_012,12,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00174,math500_012,13,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00181,math500_013,4,SELF_DETECTED_REASONING_FLAW,Step 1,RECOVERED,1
nat_rec_00191,math500_013,14,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00193,math500_014,0,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00199,math500_014,6,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,RECOVERED,1
nat_rec_00204,math500_014,11,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_00225,math500_016,0,SELF_DETECTED_REASONING_FLAW,Step 4,RECOVERED,1
nat_rec_00228,math500_016,3,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00229,math500_016,4,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00232,math500_016,7,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00234,math500_016,9,SELF_DETECTED_REASONING_FLAW,Step 1,RECOVERED,1
nat_rec_00237,math500_016,12,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_00239,math500_016,14,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00241,math500_018,0,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00247,math500_018,6,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_00264,math500_019,7,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00267,math500_019,10,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00274,math500_020,1,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00277,math500_020,4,ARITHMETIC_MISCALCULATION,Step 1,RECOVERED,1
nat_rec_00278,math500_020,5,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00287,math500_020,14,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00289,math500_021,0,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_00291,math500_021,2,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00293,math500_021,4,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00303,math500_021,14,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00305,math500_022,0,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,RECOVERED,1
nat_rec_00307,math500_022,2,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00308,math500_022,3,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_00309,math500_022,4,SELF_DETECTED_REASONING_FLAW,Step 4,RECOVERED,1
nat_rec_00320,math500_022,15,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_00329,math500_023,8,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_00330,math500_023,9,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_00331,math500_023,10,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00333,math500_023,12,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00343,math500_024,6,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00345,math500_024,8,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_00348,math500_024,11,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,UNRECOVERED,0
nat_rec_00349,math500_024,12,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,RECOVERED,1
nat_rec_00354,math500_025,1,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_00365,math500_025,12,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00372,math500_026,3,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00380,math500_026,11,SELF_DETECTED_REASONING_FLAW,Step 2,RECOVERED,1
nat_rec_00385,math500_027,0,ARITHMETIC_MISCALCULATION,Step 1,RECOVERED,1
nat_rec_00400,math500_027,15,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00405,math500_029,4,ARITHMETIC_MISCALCULATION,Step 1,RECOVERED,1
nat_rec_00407,math500_029,6,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_00412,math500_029,11,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00414,math500_029,13,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,RECOVERED,1
nat_rec_00419,math500_032,2,SELF_DETECTED_REASONING_FLAW,Step 1,RECOVERED,1
nat_rec_00423,math500_032,6,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00427,math500_032,10,ARITHMETIC_MISCALCULATION,Step 4,RECOVERED,1
nat_rec_00440,math500_033,7,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00442,math500_033,9,SELF_DETECTED_REASONING_FLAW,Step 4,RECOVERED,1
nat_rec_00447,math500_033,14,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00458,math500_034,9,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,UNRECOVERED,0
nat_rec_00470,math500_035,5,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00475,math500_035,10,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_00480,math500_035,15,SELF_DETECTED_REASONING_FLAW,Step 1,RECOVERED,1
nat_rec_00482,math500_036,1,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_00483,math500_036,2,SELF_DETECTED_REASONING_FLAW,Step 4,RECOVERED,1
nat_rec_00486,math500_036,5,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,UNRECOVERED,0
nat_rec_00488,math500_036,7,ARITHMETIC_MISCALCULATION,Step 4,RECOVERED,1
nat_rec_00495,math500_036,14,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00509,math500_037,12,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00521,math500_038,8,ARITHMETIC_MISCALCULATION,Step 3,RECOVERED,1
nat_rec_00523,math500_038,10,SELF_DETECTED_REASONING_FLAW,Step 3,RECOVERED,1
nat_rec_00526,math500_038,13,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_00536,math500_039,7,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_00537,math500_039,8,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,RECOVERED,1
nat_rec_00544,math500_039,15,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00546,math500_040,1,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,RECOVERED,1
nat_rec_00548,math500_040,3,SELF_DETECTED_REASONING_FLAW,Step 2,RECOVERED,1
nat_rec_00554,math500_040,9,SELF_DETECTED_REASONING_FLAW,Step 2,RECOVERED,1
nat_rec_00557,math500_040,12,SELF_DETECTED_REASONING_FLAW,Step 3,RECOVERED,1
nat_rec_00566,math500_041,5,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00574,math500_041,13,ARITHMETIC_MISCALCULATION,Step 3,RECOVERED,1
nat_rec_00577,math500_042,0,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_00581,math500_042,4,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00585,math500_042,8,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00588,math500_042,11,SELF_DETECTED_REASONING_FLAW,Step 2,RECOVERED,1
nat_rec_00589,math500_042,12,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00595,math500_043,2,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00599,math500_043,6,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_00606,math500_043,13,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00610,math500_044,1,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00627,math500_045,2,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,UNRECOVERED,0
nat_rec_00628,math500_045,3,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_00630,math500_045,5,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00643,math500_046,2,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00646,math500_046,5,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,UNRECOVERED,0
nat_rec_00648,math500_046,7,ARITHMETIC_MISCALCULATION,Step 3,RECOVERED,1
nat_rec_00652,math500_046,11,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_00656,math500_046,15,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_00658,math500_047,1,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_00663,math500_047,6,ARITHMETIC_MISCALCULATION,Step 3,RECOVERED,1
nat_rec_00670,math500_047,13,ARITHMETIC_MISCALCULATION,Step 2,RECOVERED,1
nat_rec_00677,math500_048,4,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00679,math500_048,6,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_00681,math500_048,8,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_00687,math500_048,14,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00691,math500_049,2,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_00695,math500_049,6,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_00710,math500_050,5,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00712,math500_050,7,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00731,math500_051,10,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00735,math500_051,14,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,RECOVERED,1
nat_rec_00736,math500_051,15,SELF_DETECTED_REASONING_FLAW,Step 2,RECOVERED,1
nat_rec_00739,math500_052,2,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,RECOVERED,1
nat_rec_00741,math500_052,4,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_00742,math500_052,5,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_00759,math500_055,6,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,RECOVERED,1
nat_rec_00762,math500_055,9,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,UNRECOVERED,0
